
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Wed,September 5,boxscore,W,,1-0,@,New York Giants,24,17,18,433,290,143,1,15,269,187,82,1,6.86,-0.96,1.43
2,Sun,September 16,boxscore,L,,1-1,@,Seattle Seahawks,7,27,17,296,247,49,2,20,315,133,182,,-3.37,-5.89,-9.28
3,Sun,September 23,boxscore,W,,2-1,,Tampa Bay Buccaneers,16,10,14,297,259,38,3,12,166,91,75,2,-17.66,11.49,10.12
4,Mon,October 1,boxscore,L,,2-2,,Chicago Bears,18,34,26,430,389,41,5,18,360,267,93,1,-5.32,-8.38,-4.07
5,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 14,boxscore,L,,2-3,@,Baltimore Ravens,29,31,30,481,254,227,1,19,316,230,86,,20.22,-15.00,-7.68
7,Sun,October 21,boxscore,W,,3-3,@,Carolina Panthers,19,14,18,312,227,85,1,18,328,216,112,2,0.93,3.15,1.53
8,Sun,October 28,boxscore,L,,3-4,,New York Giants,24,29,28,434,415,19,6,11,293,190,103,2,-5.04,10.90,-8.46
9,Sun,November 4,boxscore,L,,3-5,@,Atlanta Falcons,13,19,18,377,312,65,,21,453,330,123,,9.19,-17.08,6.06
10,Sun,November 11,boxscore,W,,4-5,@,Philadelphia Eagles,38,23,14,294,193,101,,23,369,278,91,2,2.83,4.69,5.86
11,Sun,November 18,boxscore,W,OT,5-5,,Cleveland Browns,23,20,30,320,257,63,1,19,311,192,119,1,3.48,0.60,-3.61
12,Thu,November 22,boxscore,L,,5-6,,Washington Redskins,31,38,22,458,423,35,3,22,437,288,149,1,6.70,-15.22,-4.47
13,Sun,December 2,boxscore,W,,6-6,,Philadelphia Eagles,38,33,22,417,294,123,,23,423,240,183,1,21.78,-11.93,-2.87
14,Sun,December 9,boxscore,W,,7-6,@,Cincinnati Bengals,20,19,20,288,239,49,1,19,336,190,146,1,7.78,-0.63,-5.40
15,Sun,December 16,boxscore,W,OT,8-6,,Pittsburgh Steelers,27,24,23,415,328,87,1,20,388,319,69,2,6.23,-6.46,3.23
16,Sun,December 23,boxscore,L,OT,8-7,,New Orleans Saints,31,34,18,446,406,40,1,33,562,446,116,,12.45,-27.29,12.18
17,Sun,December 30,boxscore,L,,8-8,@,Washington Redskins,18,28,20,296,196,100,3,24,361,87,274,,0.69,-16.28,7.18
