
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,boxscore,W,,1-0,@,Cleveland Browns,28,10,30,487,320,167,1,11,205,114,91,,25.03,-0.66,-2.38
2,Mon,September 15,boxscore,W,,2-0,,Philadelphia Eagles,41,37,20,380,312,68,2,23,337,259,78,1,9.61,-7.01,-0.03
3,Sun,September 21,boxscore,W,,3-0,@,Green Bay Packers,27,16,22,453,236,217,2,17,334,250,84,1,5.47,6.09,-1.57
4,Sun,September 28,boxscore,L,,3-1,,Washington Redskins,24,26,21,344,300,44,1,22,381,220,161,,9.13,-7.16,-4.50
5,Sun,October 5,boxscore,W,,4-1,,Cincinnati Bengals,31,22,18,373,175,198,2,18,269,208,61,2,8.45,9.86,-8.34
6,Sun,October 12,boxscore,L,OT,4-2,@,Arizona Cardinals,24,30,15,374,301,73,1,14,276,226,50,3,1.25,1.55,-8.86
7,Sun,October 19,boxscore,L,,4-3,@,St. Louis Rams,14,34,17,341,217,124,4,18,325,135,190,,-8.22,-8.00,-1.42
8,Sun,October 26,boxscore,W,,5-3,,Tampa Bay Buccaneers,13,9,17,172,102,70,,15,262,213,49,1,-6.96,6.33,2.90
9,Sun,November 2,boxscore,L,,5-4,@,New York Giants,14,35,11,183,102,81,4,23,319,119,200,3,-19.15,-2.26,1.60
10,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 16,boxscore,W,,6-4,@,Washington Redskins,14,10,17,315,198,117,2,14,228,136,92,1,3.02,5.83,0.34
12,Sun,November 23,boxscore,W,,7-4,,San Francisco 49ers,35,22,16,408,334,74,1,16,304,278,26,2,5.12,0.36,7.55
13,Thu,November 27,boxscore,W,,8-4,,Seattle Seahawks,34,9,24,447,331,116,1,19,322,242,80,2,16.42,9.29,-2.97
14,Sun,December 7,boxscore,L,,8-5,@,Pittsburgh Steelers,13,20,15,289,194,95,5,13,238,168,70,2,-26.10,18.36,-1.00
15,Sun,December 14,boxscore,W,,9-5,,New York Giants,20,8,17,321,221,100,,17,218,146,72,2,4.05,11.56,-5.37
16,Sat,December 20,boxscore,L,,9-6,,Baltimore Ravens,24,33,16,327,235,92,2,20,388,123,265,1,-1.38,-7.89,1.77
17,Sun,December 28,boxscore,L,,9-7,@,Philadelphia Eagles,6,44,15,298,211,87,5,16,303,166,137,1,-31.76,-7.09,2.07
