
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 4,boxscore,W,,1-0,@,Pittsburgh Steelers,26,9,26,442,245,197,1,14,126,71,55,,,,
2,Sun,September 11,boxscore,W,,2-0,,Houston Oilers,20,17,18,340,225,115,1,20,339,202,137,2,,,
3,Mon,September 19,boxscore,L,OT,2-1,,Detroit Lions,17,20,25,368,206,162,3,22,379,173,206,,,,
4,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 2,boxscore,W,,3-1,@,Washington Redskins,34,7,26,323,181,142,1,12,110,82,28,4,,,
6,Sun,October 9,boxscore,W,,4-1,,Arizona Cardinals,38,3,22,351,273,78,,10,221,168,53,5,,,
7,Sun,October 16,boxscore,W,,5-1,,Philadelphia Eagles,24,13,19,266,153,113,1,18,294,170,124,5,,,
8,Sun,October 23,boxscore,W,,6-1,@,Arizona Cardinals,28,21,14,312,237,75,,22,315,208,107,,,,
9,Sun,October 30,boxscore,W,,7-1,@,Cincinnati Bengals,23,20,20,368,272,96,2,13,320,243,77,1,,,
10,Mon,November 7,boxscore,W,,8-1,,New York Giants,38,10,27,450,241,209,2,11,188,133,55,3,,,
11,Sun,November 13,boxscore,L,,8-2,@,San Francisco 49ers,14,21,19,408,321,87,3,19,308,161,147,,,,
12,Sun,November 20,boxscore,W,,9-2,,Washington Redskins,31,7,15,241,111,130,1,20,313,229,84,5,,,
13,Thu,November 24,boxscore,W,,10-2,,Green Bay Packers,42,31,23,436,298,138,1,17,277,248,29,,,,
14,Sun,December 4,boxscore,W,,11-2,@,Philadelphia Eagles,31,19,15,264,160,104,1,25,393,285,108,1,,,
15,Sat,December 10,boxscore,L,,11-3,,Cleveland Browns,14,19,19,289,177,112,4,16,244,110,134,2,,,
16,Mon,December 19,boxscore,W,,12-3,@,New Orleans Saints,24,16,23,280,175,105,2,19,237,147,90,3,,,
17,Sat,December 24,boxscore,L,,12-4,@,New York Giants,10,15,11,183,93,90,1,15,249,122,127,,,,
,,Playoffs,,,,,,,,,,,,,,,,,,,,,
Division,Sun,January 8,boxscore,W,,13-4,,Green Bay Packers,35,9,27,450,330,120,2,18,327,228,99,1,,,
ConfChamp,Sun,January 15,boxscore,L,,13-5,@,San Francisco 49ers,28,38,29,451,352,99,5,19,294,155,139,1,,,
