
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sat,September 12,boxscore,L,,0-1,,St. Louis Cardinals,6,16,14,275,151,124,3,14,271,199,72,2
2,Sun,September 20,boxscore,W,,1-1,,Washington Redskins,24,18,19,335,155,180,4,12,207,148,59,2
3,Sun,September 27,boxscore,L,,1-2,@,Pittsburgh Steelers,17,23,19,320,170,150,2,16,291,160,131,
4,Sun,October 4,boxscore,L,,1-3,@,Cleveland Browns,6,27,17,239,107,132,1,18,367,251,116,2
5,Sun,October 11,boxscore,T,,1-3-1,,New York Giants,13,13,27,463,245,218,6,9,128,33,95,2
6,Sun,October 18,boxscore,L,,1-4-1,,Cleveland Browns,16,20,20,332,236,96,5,12,264,69,195,3
7,Sun,October 25,boxscore,W,,2-4-1,@,St. Louis Cardinals,31,13,18,276,130,146,1,17,264,145,119,4
8,Sun,November 1,boxscore,W,,3-4-1,@,Chicago Bears,24,10,19,271,142,129,4,19,263,168,95,4
9,Sun,November 8,boxscore,W,,4-4-1,@,New York Giants,31,21,14,242,161,81,3,20,301,249,52,5
10,Sun,November 15,boxscore,L,,4-5-1,,Philadelphia Eagles,14,17,14,223,152,71,1,13,300,148,152,2
11,Sun,November 22,boxscore,L,,4-6-1,@,Washington Redskins,16,28,11,196,60,136,5,16,366,307,59,3
12,Sun,November 29,boxscore,L,,4-7-1,,Green Bay Packers,21,45,8,132,54,78,6,17,246,130,116,2
13,Sun,December 6,boxscore,L,,4-8-1,@,Philadelphia Eagles,14,24,13,132,73,59,1,16,257,92,165,2
14,Sun,December 13,boxscore,W,,5-8-1,,Pittsburgh Steelers,17,14,17,268,177,91,1,12,225,147,78,5
