
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Mon,September 7,boxscore,W,,1-0,,Washington Redskins,23,10,23,391,216,175,2,17,260,185,75,1
2,Sun,September 13,boxscore,W,,2-0,@,New York Giants,34,28,20,327,229,98,,22,331,264,67,1
3,Sun,September 20,boxscore,W,,3-0,,Phoenix Cardinals,31,20,21,413,263,150,,24,438,371,67,2
4,,,,,,,,Bye Week,,,,,,,,,,,,
5,Mon,October 5,boxscore,L,,3-1,@,Philadelphia Eagles,7,31,17,311,231,80,4,21,266,106,160,1
6,Sun,October 11,boxscore,W,,4-1,,Seattle Seahawks,27,0,16,313,197,116,2,6,62,24,38,3
7,Sun,October 18,boxscore,W,,5-1,,Kansas City Chiefs,17,10,17,278,183,95,2,18,230,139,91,1
8,Sun,October 25,boxscore,W,,6-1,@,Los Angeles Raiders,28,13,23,369,207,162,,12,165,94,71,1
9,Sun,November 1,boxscore,W,,7-1,,Philadelphia Eagles,20,10,22,389,214,175,2,10,190,117,73,2
10,Sun,November 8,boxscore,W,,8-1,@,Detroit Lions,37,3,26,398,240,158,2,10,201,77,124,4
11,Sun,November 15,boxscore,L,,8-2,,Los Angeles Rams,23,27,19,349,269,80,,24,367,244,123,
12,Sun,November 22,boxscore,W,,9-2,@,Phoenix Cardinals,16,10,18,334,237,97,1,9,149,103,46,1
13,Thu,November 26,boxscore,W,,10-2,,New York Giants,30,3,17,299,142,157,1,12,207,127,80,1
14,Sun,December 6,boxscore,W,,11-2,@,Denver Broncos,31,27,22,304,222,82,,15,354,261,93,5
15,Sun,December 13,boxscore,L,,11-3,@,Washington Redskins,17,20,22,342,221,121,4,14,246,178,68,1
16,Mon,December 21,boxscore,W,,12-3,@,Atlanta Falcons,41,17,19,435,239,196,,18,373,333,40,3
17,Sun,December 27,boxscore,W,,13-3,,Chicago Bears,27,14,22,354,175,179,4,9,92,64,28,4
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sun,January 10,boxscore,W,,14-3,,Philadelphia Eagles,34,10,22,346,186,160,1,12,178,115,63,2
ConfChamp,Sun,January 17,boxscore,W,,15-3,@,San Francisco 49ers,30,20,24,416,295,121,,24,415,301,114,4
SuperBowl,Sun,January 31,boxscore,W,,16-3,N,Buffalo Bills,52,17,20,408,271,137,1,22,362,254,108,9
