
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Mon,September 4,boxscore,W,,1-0,,Baltimore Colts,38,0,25,583,305,278,3,9,181,82,99,3
2,Sun,September 10,boxscore,W,,2-0,@,New York Giants,34,24,32,401,212,189,2,22,343,243,100,4
3,Sun,September 17,boxscore,L,,2-1,@,Los Angeles Rams,14,27,21,319,223,96,5,16,317,219,98,2
4,Sun,September 24,boxscore,W,,3-1,,St. Louis Cardinals,21,12,21,389,173,216,2,16,310,195,115,
5,Mon,October 2,boxscore,L,,3-2,@,Washington Redskins,5,9,19,309,200,109,2,16,251,124,127,1
6,Sun,October 8,boxscore,W,,4-2,,New York Giants,24,3,21,357,200,157,2,10,142,40,102,2
7,Sun,October 15,boxscore,W,OT,5-2,@,St. Louis Cardinals,24,21,24,418,287,131,4,21,372,236,136,3
8,Sun,October 22,boxscore,W,,6-2,,Philadelphia Eagles,14,7,15,278,87,191,,15,262,145,117,1
9,Thu,October 26,boxscore,L,,6-3,,Minnesota Vikings,10,21,13,239,147,92,4,21,281,137,144,
10,Sun,November 5,boxscore,L,,6-4,@,Miami Dolphins,16,23,19,328,239,89,5,13,206,152,54,
11,Sun,November 12,boxscore,W,,7-4,@,Green Bay Packers,42,14,32,537,224,313,2,9,142,76,66,3
12,Sun,November 19,boxscore,W,,8-4,,New Orleans Saints,27,7,17,304,106,198,,15,277,215,62,4
13,Thu,November 23,boxscore,W,,9-4,,Washington Redskins,37,10,26,507,218,289,2,11,201,120,81,1
14,Sun,December 3,boxscore,W,,10-4,,New England Patriots,17,10,17,329,230,99,1,16,363,150,213,3
15,Sun,December 10,boxscore,W,,11-4,@,Philadelphia Eagles,31,13,17,315,169,146,,11,224,85,139,5
16,Sun,December 17,boxscore,W,,12-4,@,New York Jets,30,7,23,346,156,190,1,11,137,69,68,4
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sat,December 30,boxscore,W,,13-4,,Atlanta Falcons,27,20,26,369,221,148,4,16,216,52,164,3
ConfChamp,Sun,January 7,boxscore,W,,14-4,@,Los Angeles Rams,28,0,16,235,109,126,3,15,277,196,81,7
SuperBowl,Sun,January 21,boxscore,L,,14-5,N,Pittsburgh Steelers,31,35,20,330,176,154,3,19,357,291,66,3
