
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 17,boxscore,W,,1-0,,Pittsburgh Steelers,27,24,20,403,307,96,2,15,342,237,105,4
2,Sun,September 24,boxscore,W,,2-0,,Minnesota Vikings,21,7,22,437,229,208,3,16,251,126,125,3
3,Sun,October 1,boxscore,L,,2-1,@,Cleveland Browns,7,25,9,152,100,52,3,18,316,100,216,4
4,Sun,October 8,boxscore,W,,3-1,@,Minnesota Vikings,28,0,18,297,180,117,,14,183,100,83,5
5,Sun,October 15,boxscore,L,,3-2,,New York Giants,10,31,15,331,139,192,7,21,375,117,258,6
6,Sun,October 22,boxscore,L,,3-3,,Philadelphia Eagles,7,43,26,346,169,177,2,23,480,191,289,
7,Sun,October 29,boxscore,W,,4-3,@,New York Giants,17,16,17,333,187,146,4,15,262,150,112,4
8,Sun,November 5,boxscore,L,,4-4,,St. Louis Cardinals,17,31,18,374,238,136,5,13,193,71,122,1
9,Sun,November 12,boxscore,L,,4-5,@,Pittsburgh Steelers,7,37,8,185,122,63,2,22,371,204,167,1
10,Sun,November 19,boxscore,T,,4-5-1,,Washington Redskins,28,28,27,441,271,170,4,18,292,210,82,3
11,Sun,November 26,boxscore,L,,4-6-1,@,Philadelphia Eagles,13,35,21,358,240,118,3,20,454,337,117,4
12,Sun,December 3,boxscore,L,,4-7-1,,Cleveland Browns,17,38,19,376,202,174,6,23,373,143,230,3
13,Sun,December 10,boxscore,L,,4-8-1,@,St. Louis Cardinals,13,31,8,126,16,110,3,14,334,260,74,3
14,Sun,December 17,boxscore,L,,4-9-1,@,Washington Redskins,24,34,11,321,261,60,4,22,366,185,181,2
