
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 16,boxscore,T,,0-0-1,,Washington Redskins,35,35,22,483,341,142,3,17,286,211,75,2
2,Sun,September 23,boxscore,L,,0-1-1,,Pittsburgh Steelers,28,30,19,351,225,126,2,22,354,144,210,1
3,Sun,September 30,boxscore,W,,1-1-1,@,Los Angeles Rams,27,17,13,403,226,177,1,15,274,234,40,2
4,Sun,October 7,boxscore,L,,1-2-1,@,Cleveland Browns,10,19,12,239,138,101,2,12,231,169,62,2
5,Sun,October 14,boxscore,W,,2-2-1,,Philadelphia Eagles,41,19,13,354,199,155,1,21,328,250,78,2
6,Sun,October 21,boxscore,W,,3-2-1,@,Pittsburgh Steelers,42,27,19,402,295,107,3,21,373,250,123,4
7,Sun,October 28,boxscore,L,,3-3-1,,St. Louis Cardinals,24,28,20,379,178,201,4,14,349,239,110,5
8,Sun,November 4,boxscore,W,,4-3-1,@,Washington Redskins,38,10,21,388,164,224,1,17,293,225,68,3
9,Sun,November 11,boxscore,L,,4-4-1,,New York Giants,10,41,16,262,173,89,4,22,446,340,106,2
10,Sun,November 18,boxscore,L,,4-5-1,,Chicago Bears,33,34,14,301,144,157,1,28,504,437,67,2
11,Sun,November 25,boxscore,L,,4-6-1,@,Philadelphia Eagles,14,28,19,300,208,92,4,22,453,313,140,2
12,Sun,December 2,boxscore,W,,5-6-1,,Cleveland Browns,45,21,28,398,181,217,1,18,295,234,61,2
13,Sun,December 9,boxscore,L,,5-7-1,@,St. Louis Cardinals,20,52,14,274,188,86,5,22,527,310,217,3
14,Sun,December 16,boxscore,L,,5-8-1,@,New York Giants,31,41,16,378,212,166,4,23,471,318,153,4
