
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,boxscore,W,OT,1-0,@,Washington Redskins,41,35,30,541,355,186,3,25,504,369,135,2,17.98,-18.12,0.69
2,Mon,September 20,boxscore,W,,2-0,,Atlanta Falcons,24,7,17,232,98,134,2,13,324,239,85,4,-6.60,26.82,-1.94
3,,,,,,,,Bye Week,,,,,,,,,,,,,,,
4,Sun,October 3,boxscore,W,,3-0,,Arizona Cardinals,35,7,17,306,192,114,1,12,208,137,71,5,0.84,33.68,-9.01
5,Sun,October 10,boxscore,L,,3-1,@,Philadelphia Eagles,10,13,19,300,170,130,3,12,244,139,105,1,-10.04,14.73,-9.71
6,Mon,October 18,boxscore,L,,3-2,@,New York Giants,10,13,14,274,250,24,1,13,228,153,75,,-4.89,5.38,-5.19
7,Sun,October 24,boxscore,W,,4-2,,Washington Redskins,38,20,23,352,244,108,1,14,272,211,61,,14.25,-5.01,12.02
8,Sun,October 31,boxscore,L,,4-3,@,Indianapolis Colts,24,34,18,232,129,103,1,23,419,300,119,,-5.19,-15.03,6.54
9,Mon,November 8,boxscore,L,,4-4,@,Minnesota Vikings,17,27,14,328,123,205,2,17,308,190,118,2,-13.35,1.36,-1.13
10,Sun,November 14,boxscore,W,,5-4,,Green Bay Packers,27,13,19,339,190,149,2,20,284,244,40,2,0.55,10.08,-2.42
11,Sun,November 21,boxscore,L,,5-5,@,Arizona Cardinals,9,13,15,258,102,156,,13,207,105,102,2,-12.30,9.46,-6.47
12,Thu,November 25,boxscore,W,,6-5,,Miami Dolphins,20,0,15,324,223,101,1,16,275,206,69,5,-12.51,26.05,13.32
13,Sun,December 5,boxscore,L,,6-6,@,New England Patriots,6,13,12,203,140,63,,18,284,176,108,2,-13.59,5.98,-1.80
14,Sun,December 12,boxscore,W,,7-6,,Philadelphia Eagles,20,10,22,337,225,112,1,14,238,143,95,3,-2.21,17.17,-3.16
15,Sun,December 19,boxscore,L,,7-7,,New York Jets,21,22,16,347,152,195,2,19,355,229,126,2,-9.87,6.07,-0.68
16,Fri,December 24,boxscore,L,,7-8,@,New Orleans Saints,24,31,24,368,246,122,3,18,310,249,61,2,-6.79,-4.25,3.33
17,Sun,January 2,boxscore,W,,8-8,,New York Giants,26,18,20,437,288,149,,19,380,308,72,1,14.92,-10.67,9.37
,,Playoffs,,,,,,,,,,,,,,,,,,,,,
WildCard,Sun,January 9,boxscore,L,,8-9,@,Minnesota Vikings,10,27,18,389,278,111,3,20,374,199,175,,-0.73,-6.78,-8.73
