
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Mon,September 13,boxscore,L,,0-1,,Pittsburgh Steelers,28,36,28,436,341,95,4,23,388,241,147,1
2,Sun,September 19,boxscore,W,,1-1,@,St. Louis Cardinals,24,7,19,379,246,133,2,19,311,249,62,1
11,Sun,November 21,boxscore,W,,2-1,,Tampa Bay Buccaneers,14,9,13,185,107,78,1,21,382,247,135,1
12,Thu,November 25,boxscore,W,,3-1,,Cleveland Browns,31,14,27,496,197,299,4,17,280,198,82,5
13,Sun,December 5,boxscore,W,,4-1,@,Washington Redskins,24,10,22,362,202,160,2,15,275,209,66,3
14,Mon,December 13,boxscore,W,,5-1,@,Houston Oilers,37,7,20,416,295,121,2,10,199,160,39,3
15,Sun,December 19,boxscore,W,,6-1,,New Orleans Saints,21,7,16,316,195,121,5,18,301,63,238,4
16,Sun,December 26,boxscore,L,,6-2,,Philadelphia Eagles,20,24,17,245,136,109,4,16,236,153,83,4
17,Mon,January 3,boxscore,L,,6-3,@,Minnesota Vikings,27,31,18,364,167,197,2,23,381,222,159,3
,,Playoffs,,,,,,,,,,,,,,,,,,
WildCard,Sun,January 9,boxscore,W,,7-3,,Tampa Bay Buccaneers,30,17,29,456,277,179,3,8,218,113,105,3
Division,Sun,January 16,boxscore,W,,8-3,,Green Bay Packers,37,26,24,375,266,109,2,21,466,308,158,5
ConfChamp,Sat,January 22,boxscore,L,,8-4,@,Washington Redskins,17,31,21,340,275,65,3,18,260,123,137,
