
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,boxscore,L,,0-1,,Atlanta Falcons,13,27,16,403,254,149,2,17,318,220,98,1,-0.81,-5.70,-5.40
2,Mon,September 15,boxscore,W,OT,1-1,@,New York Giants,35,32,24,403,296,107,1,20,309,256,53,3,-3.56,5.73,2.65
3,,,,,,,,Bye Week,,,,,,,,,,,,,,,
4,Sun,September 28,boxscore,W,,2-1,@,New York Jets,17,6,18,360,158,202,1,15,285,219,66,2,3.81,9.68,-4.94
5,Sun,October 5,boxscore,W,,3-1,,Arizona Cardinals,24,7,18,365,268,97,1,9,151,119,32,2,-0.67,15.46,1.17
6,Sun,October 12,boxscore,W,,4-1,,Philadelphia Eagles,23,21,15,292,173,119,1,14,232,115,117,1,-4.42,3.22,3.90
7,Sun,October 19,boxscore,W,,5-1,@,Detroit Lions,38,7,25,331,197,134,1,9,157,74,83,4,-1.94,30.60,0.57
8,Sun,October 26,boxscore,L,,5-2,@,Tampa Bay Buccaneers,0,16,9,178,118,60,3,14,261,133,128,,-22.81,6.91,-2.43
9,Sun,November 2,boxscore,W,,6-2,,Washington Redskins,21,14,24,400,192,208,4,13,213,124,89,,0.12,8.02,2.06
10,Sun,November 9,boxscore,W,,7-2,,Buffalo Bills,10,6,14,236,114,122,,15,185,85,100,2,-12.34,19.83,-1.65
11,Sun,November 16,boxscore,L,,7-3,@,New England Patriots,0,12,17,291,207,84,3,14,268,203,65,1,-17.04,8.37,-2.01
12,Sun,November 23,boxscore,W,,8-3,,Carolina Panthers,24,20,19,319,254,65,1,15,244,169,75,2,-1.77,7.28,-4.03
13,Thu,November 27,boxscore,L,,8-4,,Miami Dolphins,21,40,21,354,263,91,5,22,365,239,126,1,-4.71,-8.71,-2.08
14,Sun,December 7,boxscore,L,,8-5,@,Philadelphia Eagles,10,36,13,225,75,150,2,20,403,228,175,,-14.44,-11.69,0.03
15,Sun,December 14,boxscore,W,,9-5,@,Washington Redskins,27,0,16,326,104,222,1,8,161,55,106,6,-6.08,31.29,-2.23
16,Sun,December 21,boxscore,W,,10-5,,New York Giants,19,3,16,326,222,104,,10,213,159,54,,1.49,11.16,2.76
17,Sun,December 28,boxscore,L,,10-6,@,New Orleans Saints,7,13,21,352,267,85,3,13,291,233,58,,-5.70,3.03,-2.93
,,Playoffs,,,,,,,,,,,,,,,,,,,,,
WildCard,Sat,January 3,boxscore,L,,10-7,@,Carolina Panthers,10,29,10,204,132,72,2,16,380,273,107,,-19.26,-7.69,9.18
