
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
2,Sun,September 18,boxscore,W,,1-0,,New York Giants,52,7,24,518,374,144,1,18,257,120,137,4
3,Sun,September 25,boxscore,W,,2-0,,Minnesota Vikings,28,17,18,314,166,148,,25,389,247,142,1
4,Sun,October 2,boxscore,W,,3-0,@,Atlanta Falcons,47,14,22,363,220,143,2,20,276,170,106,5
5,Sun,October 9,boxscore,W,,4-0,,Philadelphia Eagles,56,7,32,652,440,212,,11,217,179,38,1
6,Sun,October 16,boxscore,T,,4-0-1,@,St. Louis Cardinals,10,10,17,326,191,135,4,13,175,130,45,
7,Sun,October 23,boxscore,L,,4-1-1,@,Cleveland Browns,21,30,30,413,257,156,4,17,264,159,105,
8,Sun,October 30,boxscore,W,,5-1-1,,Pittsburgh Steelers,52,21,24,425,233,192,3,6,119,112,7,4
9,Sun,November 6,boxscore,L,,5-2-1,@,Philadelphia Eagles,23,24,16,240,128,112,2,5,80,22,58,3
10,Sun,November 13,boxscore,W,,6-2-1,@,Washington Redskins,31,30,24,515,383,132,3,19,341,318,23,
11,Sun,November 20,boxscore,W,,7-2-1,@,Pittsburgh Steelers,20,7,16,258,134,124,1,16,163,110,53,3
12,Thu,November 24,boxscore,W,,8-2-1,,Cleveland Browns,26,14,25,304,131,173,,18,321,164,157,1
13,Sun,December 4,boxscore,W,,9-2-1,,St. Louis Cardinals,31,17,11,190,82,108,1,21,295,201,94,5
14,Sun,December 11,boxscore,L,,9-3-1,,Washington Redskins,31,34,17,370,129,241,1,13,399,295,104,2
15,Sun,December 18,boxscore,W,,10-3-1,@,New York Giants,17,7,11,257,155,102,2,19,262,155,107,2
,,Playoffs,,,,,,,,,,,,,,,,,,
Championship,Sun,January 1,boxscore,L,,10-4-1,,Green Bay Packers,27,34,23,418,231,187,2,19,367,265,102,1
