
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 3,boxscore,L,,0-1,,Philadelphia Eagles,14,41,10,167,100,67,2,27,425,119,306,3,-18.42,-10.67,1.40
2,Sun,September 10,boxscore,L,,0-2,@,Arizona Cardinals,31,32,17,330,240,90,2,21,322,224,98,1,5.06,-11.23,4.92
3,Mon,September 18,boxscore,W,,1-2,@,Washington Redskins,27,21,15,332,179,153,2,24,331,224,107,2,4.07,2.92,0.18
4,Sun,September 24,boxscore,L,,1-3,,San Francisco 49ers,24,41,18,298,222,76,3,27,439,178,261,,4.15,-27.20,3.90
5,Sun,October 1,boxscore,W,OT,2-3,@,Carolina Panthers,16,13,20,291,118,173,2,13,272,153,119,2,-1.48,5.39,-2.01
6,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 15,boxscore,L,,2-4,@,New York Giants,14,19,23,269,193,76,5,17,311,108,203,,-11.64,-0.69,8.37
8,Sun,October 22,boxscore,W,,3-4,,Arizona Cardinals,48,7,23,347,147,200,,15,276,167,109,3,21.03,22.90,-4.47
9,Sun,October 29,boxscore,L,OT,3-5,,Jacksonville Jaguars,17,23,22,325,207,118,3,18,392,231,161,,-0.30,-6.82,-0.44
10,Sun,November 5,boxscore,L,OT,3-6,@,Philadelphia Eagles,13,16,16,295,91,204,2,23,357,228,129,2,-12.69,4.25,3.65
11,Sun,November 12,boxscore,W,,4-6,,Cincinnati Bengals,23,6,22,405,308,97,1,15,195,56,139,2,5.19,19.19,-3.40
12,Sun,November 19,boxscore,L,,4-7,@,Baltimore Ravens,0,27,9,192,137,55,3,22,479,229,250,2,-21.19,-13.55,7.93
13,Thu,November 23,boxscore,L,,4-8,,Minnesota Vikings,15,27,22,404,276,128,2,18,360,192,168,,1.00,-13.25,-3.59
14,Sun,December 3,boxscore,L,,4-9,@,Tampa Bay Buccaneers,7,27,19,266,153,113,4,17,301,51,250,1,-10.30,-7.53,-0.10
15,Sun,December 10,boxscore,W,,5-9,,Washington Redskins,32,13,19,314,72,242,,17,270,191,79,2,7.26,12.63,-0.32
16,Sun,December 17,boxscore,L,,5-10,,New York Giants,13,17,15,145,70,75,3,12,225,126,99,1,-15.72,7.53,1.46
17,Mon,December 25,boxscore,L,,5-11,@,Tennessee Titans,0,31,6,95,9,86,5,23,374,216,158,4,-48.01,5.28,8.63
