
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 17,boxscore,W,,1-0,,Philadelphia Eagles,28,6,22,389,235,154,3,17,315,245,70,4
2,Sun,September 24,boxscore,W,,2-0,@,New York Giants,23,14,18,297,158,139,,14,355,271,84,2
3,Sun,October 1,boxscore,L,,2-1,@,Green Bay Packers,13,16,16,269,131,138,5,11,168,44,124,
4,Sun,October 8,boxscore,W,,3-1,,Pittsburgh Steelers,17,13,21,367,176,191,4,14,272,142,130,2
5,Sun,October 15,boxscore,W,,4-1,@,Baltimore Colts,21,0,21,390,265,125,2,14,175,70,105,3
6,Sun,October 22,boxscore,L,,4-2,@,Washington Redskins,20,24,18,276,160,116,2,17,305,172,133,1
7,Mon,October 30,boxscore,W,,5-2,,Detroit Lions,28,24,19,365,206,159,2,14,283,224,59,
8,Sun,November 5,boxscore,W,,6-2,@,San Diego Chargers,34,28,17,269,169,100,2,17,346,202,144,4
9,Sun,November 12,boxscore,W,,7-2,,St. Louis Cardinals,33,24,23,427,197,230,1,16,328,274,54,3
10,Sun,November 19,boxscore,W,,8-2,@,Philadelphia Eagles,28,7,20,321,158,163,3,12,126,6,120,3
11,Thu,November 23,boxscore,L,,8-3,,San Francisco 49ers,10,31,19,308,201,107,4,17,280,157,123,1
12,Sun,December 3,boxscore,W,,9-3,@,St. Louis Cardinals,27,6,18,349,140,209,5,10,141,89,52,5
13,Sat,December 9,boxscore,W,,10-3,,Washington Redskins,34,24,14,307,61,246,1,19,312,169,143,4
14,Sun,December 17,boxscore,L,,10-4,,New York Giants,3,23,10,132,85,47,4,25,349,175,174,1
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sat,December 23,boxscore,W,,11-4,@,San Francisco 49ers,30,28,22,402,237,165,5,13,255,150,105,3
ConfChamp,Sun,December 31,boxscore,L,,11-5,@,Washington Redskins,3,26,8,169,73,96,1,16,316,194,122,1
