
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Mon,September 6,boxscore,L,,0-1,@,Washington Redskins,16,35,16,345,254,91,4,23,332,161,171,
2,Sun,September 12,boxscore,L,,0-2,,Buffalo Bills,10,13,23,393,290,103,4,16,229,129,100,2
3,Sun,September 19,boxscore,W,,1-2,@,Phoenix Cardinals,17,10,23,410,280,130,,14,273,205,68,1
4,,,,,,,,Bye Week,,,,,,,,,,,,
5,Sun,October 3,boxscore,W,,2-2,,Green Bay Packers,36,14,20,395,297,98,,18,214,178,36,
6,Sun,October 10,boxscore,W,,3-2,@,Indianapolis Colts,27,3,24,374,231,143,1,19,361,235,126,5
7,Sun,October 17,boxscore,W,,4-2,,San Francisco 49ers,26,17,24,353,230,123,1,25,405,249,156,2
8,,,,,,,,Bye Week,,,,,,,,,,,,
9,Sun,October 31,boxscore,W,,5-2,@,Philadelphia Eagles,23,10,19,356,85,271,,16,228,89,139,1
10,Sun,November 7,boxscore,W,,6-2,,New York Giants,31,9,17,369,230,139,,18,295,177,118,
11,Sun,November 14,boxscore,W,,7-2,,Phoenix Cardinals,20,15,15,311,224,87,2,15,265,214,51,3
12,Sun,November 21,boxscore,L,,7-3,@,Atlanta Falcons,14,27,13,230,182,48,,22,400,315,85,1
13,Thu,November 25,boxscore,L,,7-4,,Miami Dolphins,14,16,19,293,181,112,2,15,382,274,108,4
14,Mon,December 6,boxscore,W,,8-4,,Philadelphia Eagles,23,17,17,347,165,182,1,21,307,248,59,1
15,Sun,December 12,boxscore,W,,9-4,@,Minnesota Vikings,37,20,25,356,208,148,,20,270,173,97,1
16,Sat,December 18,boxscore,W,,10-4,@,New York Jets,28,7,19,364,235,129,5,23,295,214,81,4
17,Sun,December 26,boxscore,W,,11-4,,Washington Redskins,38,3,27,380,205,175,1,16,198,72,126,2
18,Sun,January 2,boxscore,W,OT,12-4,@,New York Giants,16,13,21,339,157,182,1,16,313,183,130,1
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sun,January 16,boxscore,W,,13-4,,Green Bay Packers,27,17,23,381,284,97,3,19,358,327,31,4
ConfChamp,Sun,January 23,boxscore,W,,14-4,,San Francisco 49ers,38,21,24,377,253,124,,24,359,275,84,1
SuperBowl,Sun,January 30,boxscore,W,,15-4,N,Buffalo Bills,30,13,20,341,204,137,1,22,314,227,87,3
