
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 19,boxscore,W,,1-0,@,Buffalo Bills,49,37,19,371,211,160,1,18,401,335,66,4
2,Sun,September 26,boxscore,W,,2-0,@,Philadelphia Eagles,42,7,23,369,219,150,4,12,170,138,32,8
3,Sun,October 3,boxscore,L,,2-1,,Washington Redskins,16,20,20,267,185,82,1,14,285,85,200,3
4,Mon,October 11,boxscore,W,,3-1,,New York Giants,20,13,21,401,179,222,6,18,332,265,67,5
5,Sun,October 17,boxscore,L,,3-2,@,New Orleans Saints,14,24,20,300,204,96,6,10,157,49,108,2
6,Sun,October 24,boxscore,W,,4-2,,New England Patriots,44,21,20,406,238,168,,17,259,183,76,3
7,Sun,October 31,boxscore,L,,4-3,@,Chicago Bears,19,23,26,481,342,139,7,7,194,112,82,2
8,Sun,November 7,boxscore,W,,5-3,@,St. Louis Cardinals,16,13,20,372,199,173,,11,228,192,36,1
9,Sun,November 14,boxscore,W,,6-3,,Philadelphia Eagles,20,7,21,308,129,179,1,14,286,242,44,5
10,Sun,November 21,boxscore,W,,7-3,@,Washington Redskins,13,0,16,279,133,146,1,15,232,167,65,2
11,Thu,November 25,boxscore,W,,8-3,,Los Angeles Rams,28,21,15,280,166,114,,21,313,227,86,3
12,Sat,December 4,boxscore,W,,9-3,,New York Jets,52,10,26,439,221,218,1,12,149,19,130,6
13,Sun,December 12,boxscore,W,,10-3,@,New York Giants,42,14,23,439,242,197,3,17,247,183,64,4
14,Sat,December 18,boxscore,W,,11-3,,St. Louis Cardinals,31,12,18,323,118,205,4,14,215,127,88,3
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sat,December 25,boxscore,W,,12-3,@,Minnesota Vikings,20,12,10,183,85,98,,17,311,210,101,5
ConfChamp,Sun,January 2,boxscore,W,,13-3,,San Francisco 49ers,14,3,16,244,72,172,1,9,239,178,61,3
SuperBowl,Sun,January 16,boxscore,W,,14-3,N,Miami Dolphins,24,3,23,352,100,252,1,10,185,105,80,3
