
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Mon,September 9,boxscore,W,,1-0,,Washington Redskins,44,14,19,319,206,113,1,24,369,249,120,7
2,Sun,September 15,boxscore,L,,1-1,@,Detroit Lions,21,26,33,554,452,102,5,13,200,128,72,1
3,Sun,September 22,boxscore,W,,2-1,,Cleveland Browns,20,7,20,343,212,131,2,15,297,169,128,3
4,Sun,September 29,boxscore,W,,3-1,@,Houston Oilers,17,10,16,339,183,156,,13,214,133,81,5
5,Sun,October 6,boxscore,W,,4-1,@,New York Giants,30,29,27,423,317,106,4,19,473,403,70,5
6,Sun,October 13,boxscore,W,,5-1,,Pittsburgh Steelers,27,13,18,374,241,133,2,14,315,231,84,3
7,Sun,October 20,boxscore,L,,5-2,@,Philadelphia Eagles,14,16,22,310,163,147,4,22,402,347,55,1
8,Sun,October 27,boxscore,W,,6-2,,Atlanta Falcons,24,10,28,461,352,109,4,18,253,91,162,4
9,Mon,November 4,boxscore,L,,6-3,@,St. Louis Cardinals,10,21,18,248,159,89,3,19,286,237,49,
10,Sun,November 10,boxscore,W,,7-3,@,Washington Redskins,13,7,14,338,219,119,,15,267,143,124,3
11,Sun,November 17,boxscore,L,,7-4,,Chicago Bears,0,44,12,171,119,52,5,18,378,162,216,1
12,Sun,November 24,boxscore,W,,8-4,,Philadelphia Eagles,34,17,28,377,234,143,1,20,402,277,125,3
13,Thu,November 28,boxscore,W,,9-4,,St. Louis Cardinals,35,17,23,393,277,116,1,24,365,281,84,3
14,Sun,December 8,boxscore,L,,9-5,@,Cincinnati Bengals,24,50,20,260,196,64,4,31,570,296,274,2
15,Sun,December 15,boxscore,W,,10-5,,New York Giants,28,21,13,273,172,101,1,25,396,296,100,4
16,Sun,December 22,boxscore,L,,10-6,@,San Francisco 49ers,16,31,25,419,359,60,4,22,421,312,109,3
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sat,January 4,boxscore,L,,10-7,@,Los Angeles Rams,0,20,15,243,182,61,6,15,316,47,269,2
