
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,boxscore,L,,0-1,@,Minnesota Vikings,17,35,27,423,352,71,2,23,415,279,136,,4.13,-29.80,5.09
2,Sun,September 19,boxscore,W,,1-1,,Cleveland Browns,19,12,20,441,315,126,4,12,202,66,136,3,-2.33,20.57,-12.84
3,Mon,September 27,boxscore,W,,2-1,@,Washington Redskins,21,18,14,287,237,50,,21,384,290,94,,6.09,-7.12,-0.87
4,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 10,boxscore,L,,2-2,,New York Giants,10,26,16,278,112,166,2,19,336,211,125,1,-7.15,-2.51,-1.74
6,Sun,October 17,boxscore,L,,2-3,,Pittsburgh Steelers,20,24,20,348,248,100,1,21,297,172,125,,5.99,-8.82,2.20
7,Sun,October 24,boxscore,L,,2-4,@,Green Bay Packers,20,41,18,362,296,66,,23,480,260,220,,9.09,-28.26,-1.07
8,Sun,October 31,boxscore,W,,3-4,,Detroit Lions,31,21,22,357,230,127,3,15,284,245,39,1,5.16,-2.29,7.44
9,Sun,November 7,boxscore,L,,3-5,@,Cincinnati Bengals,3,26,13,311,202,109,5,15,328,212,116,,-17.51,-2.92,0.34
10,Mon,November 15,boxscore,L,,3-6,,Philadelphia Eagles,21,49,14,317,246,71,3,20,485,336,149,,-9.45,-23.31,3.60
11,Sun,November 21,boxscore,L,,3-7,@,Baltimore Ravens,10,30,16,222,128,94,3,15,287,228,59,2,-25.23,6.76,-0.57
12,Thu,November 25,boxscore,W,,4-7,,Chicago Bears,21,7,18,267,113,154,2,10,140,91,49,4,-14.43,29.64,-1.57
13,Mon,December 6,boxscore,W,,5-7,@,Seattle Seahawks,43,39,24,405,207,198,2,25,507,398,109,2,12.26,-17.56,7.23
14,Sun,December 12,boxscore,L,,5-8,,New Orleans Saints,13,27,18,269,148,121,4,21,344,239,105,2,-15.88,4.40,-4.03
15,Sun,December 19,boxscore,L,,5-9,@,Philadelphia Eagles,7,12,14,237,157,80,2,24,328,208,120,3,-10.07,3.03,-1.29
16,Sun,December 26,boxscore,W,,6-9,,Washington Redskins,13,10,21,306,217,89,2,15,233,149,84,3,-7.16,5.13,7.02
17,Sun,January 2,boxscore,L,,6-10,@,New York Giants,24,28,21,367,220,147,2,18,235,137,98,1,7.26,-10.38,-0.02
