
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sat,September 14,boxscore,L,,0-1,,St. Louis Cardinals,7,34,16,254,143,111,1,20,339,133,206,1
2,Sun,September 22,boxscore,L,,0-2,,Cleveland Browns,24,41,19,307,189,118,3,19,453,188,265,2
3,Sun,September 29,boxscore,L,,0-3,@,Washington Redskins,17,21,22,349,185,164,3,19,273,150,123,2
4,Sun,October 6,boxscore,L,,0-4,@,Philadelphia Eagles,21,24,11,203,129,74,1,20,385,193,192,1
5,Sun,October 13,boxscore,W,,1-4,,Detroit Lions,17,14,10,236,63,173,3,16,359,254,105,3
6,Sun,October 20,boxscore,L,,1-5,@,New York Giants,21,37,19,317,257,60,2,22,360,273,87,1
7,Sun,October 27,boxscore,L,,1-6,@,Pittsburgh Steelers,21,27,22,416,290,126,3,19,484,370,114,3
8,Sun,November 3,boxscore,W,,2-6,,Washington Redskins,35,20,17,221,124,97,3,23,468,318,150,7
9,Sun,November 10,boxscore,L,,2-7,@,San Francisco 49ers,24,31,31,532,419,113,3,23,394,239,155,1
10,Sun,November 17,boxscore,W,,3-7,,Philadelphia Eagles,27,20,25,448,297,151,2,16,340,264,76,2
11,Sun,November 24,boxscore,L,,3-8,@,Cleveland Browns,17,27,13,207,82,125,4,14,337,162,175,5
12,Sun,December 1,boxscore,L,,3-9,,New York Giants,27,34,18,296,70,226,5,15,264,191,73,3
13,Sun,December 8,boxscore,L,,3-10,,Pittsburgh Steelers,19,24,15,263,112,151,1,19,426,215,211,2
14,Sun,December 15,boxscore,W,,4-10,@,St. Louis Cardinals,28,24,10,214,108,106,2,21,443,281,162,4
