
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,August 31,boxscore,W,,1-0,@,Pittsburgh Steelers,37,7,21,380,295,85,,15,174,89,85,2,14.54,14.84,0.13
2,Sun,September 7,boxscore,L,OT,1-1,@,Arizona Cardinals,22,25,15,327,147,180,1,21,286,220,66,4,,,
3,Mon,September 15,boxscore,W,,2-1,,Philadelphia Eagles,21,20,18,279,187,92,2,16,333,176,157,,-10.46,-2.97,10.03
4,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,September 28,boxscore,W,,3-1,,Chicago Bears,27,3,13,180,124,56,1,17,243,102,141,2,-5.27,21.00,8.94
6,Sun,October 5,boxscore,L,,3-2,@,New York Giants,17,20,27,428,310,118,2,13,166,109,57,,,,
7,Mon,October 13,boxscore,L,,3-3,@,Washington Redskins,16,21,16,290,175,115,1,16,255,139,116,1,,,
8,Sun,October 19,boxscore,W,,4-3,,Jacksonville Jaguars,26,22,24,337,238,99,,15,271,229,42,1,,,
9,Sun,October 26,boxscore,L,,4-4,@,Philadelphia Eagles,12,13,14,244,93,151,,17,274,120,154,,,,
10,Sun,November 2,boxscore,L,,4-5,@,San Francisco 49ers,10,17,16,271,184,87,2,18,301,173,128,2,,,
11,Sun,November 9,boxscore,W,,5-5,,Arizona Cardinals,24,6,19,329,204,125,1,18,274,173,101,1,,,
12,Sun,November 16,boxscore,W,,6-5,,Washington Redskins,17,14,20,312,207,105,,16,259,155,104,,,,
13,Sun,November 23,boxscore,L,,6-6,@,Green Bay Packers,17,45,11,213,120,93,2,29,409,189,220,1,,,
14,Thu,November 27,boxscore,L,,6-7,,Tennessee Oilers,14,27,16,386,340,46,5,14,245,81,164,1,-26.74,8.77,9.39
15,Mon,December 8,boxscore,L,,6-8,,Carolina Panthers,13,23,9,216,138,78,1,22,324,169,155,1,,,
16,Sun,December 14,boxscore,L,,6-9,@,Cincinnati Bengals,24,31,29,402,274,128,2,17,419,262,157,2,,,
17,Sun,December 21,boxscore,L,,6-10,,New York Giants,7,20,11,184,105,79,3,17,283,136,147,1,-28.11,6.05,5.24
