
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Mon,September 5,boxscore,W,,1-0,@,Washington Redskins,31,30,16,356,173,183,,26,447,299,148,1
2,Sun,September 11,boxscore,W,,2-0,@,St. Louis Cardinals,34,17,19,329,214,115,2,16,313,260,53,6
3,Sun,September 18,boxscore,W,,3-0,,New York Giants,28,13,18,309,220,89,3,16,334,203,131,4
4,Sun,September 25,boxscore,W,,4-0,,New Orleans Saints,21,20,16,272,99,173,6,17,298,183,115,3
5,Sun,October 2,boxscore,W,,5-0,@,Minnesota Vikings,37,24,28,400,200,200,3,14,316,272,44,3
6,Sun,October 9,boxscore,W,OT,6-0,,Tampa Bay Buccaneers,27,24,25,444,340,104,3,13,335,248,87,2
7,Sun,October 16,boxscore,W,,7-0,,Philadelphia Eagles,37,7,32,522,310,212,1,9,209,165,44,2
8,Sun,October 23,boxscore,L,,7-1,,Los Angeles Raiders,38,40,17,319,238,81,3,31,519,300,219,6
9,Sun,October 30,boxscore,W,,8-1,@,New York Giants,38,20,27,485,288,197,3,17,390,296,94,6
10,Sun,November 6,boxscore,W,,9-1,@,Philadelphia Eagles,27,20,22,363,249,114,2,16,353,223,130,2
11,Sun,November 13,boxscore,L,,9-2,@,San Diego Chargers,23,24,25,389,291,98,,21,355,332,23,1
12,Sun,November 20,boxscore,W,,10-2,,Kansas City Chiefs,41,21,18,421,229,192,2,29,434,391,43,3
13,Thu,November 24,boxscore,W,,11-2,,St. Louis Cardinals,35,17,17,362,230,132,,14,278,189,89,3
14,Sun,December 4,boxscore,W,,12-2,@,Seattle Seahawks,35,10,25,418,286,132,2,14,216,188,28,4
15,Sun,December 11,boxscore,L,,12-3,,Washington Redskins,10,31,13,205,172,33,4,20,336,170,166,1
16,Mon,December 19,boxscore,L,,12-4,@,San Francisco 49ers,17,42,24,365,303,62,5,13,294,209,85,1
,,Playoffs,,,,,,,,,,,,,,,,,,
WildCard,Mon,December 26,boxscore,L,,12-5,,Los Angeles Rams,17,24,24,363,300,63,4,19,243,149,94,
