
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,boxscore,L,,0-1,@,Jacksonville Jaguars,17,24,14,323,235,88,3,22,307,229,78,1,-6.95,-3.66,0.10
2,Sun,September 17,boxscore,W,,1-1,,Washington Redskins,27,10,22,367,229,138,1,16,245,152,93,1,4.26,13.44,-4.67
3,,,,,,,,Bye Week,,,,,,,,,,,,,,,
4,Sun,October 1,boxscore,W,,2-1,@,Tennessee Titans,45,14,23,396,179,217,1,16,229,151,78,3,22.31,14.23,-3.66
5,Sun,October 8,boxscore,L,,2-2,@,Philadelphia Eagles,24,38,23,320,174,146,5,16,383,331,52,2,-19.81,4.73,3.17
6,Sun,October 15,boxscore,W,,3-2,,Houston Texans,34,6,21,354,184,170,,12,232,198,34,3,9.98,10.47,1.83
7,Mon,October 23,boxscore,L,,3-3,,New York Giants,22,36,21,379,310,69,4,18,328,173,155,2,-8.68,-4.29,-4.04
8,Sun,October 29,boxscore,W,,4-3,@,Carolina Panthers,35,14,27,414,258,156,1,16,204,128,76,3,12.10,4.70,6.96
9,Sun,November 5,boxscore,L,,4-4,@,Washington Redskins,19,22,21,378,267,111,,18,300,183,117,1,10.57,-4.50,-11.86
10,Sun,November 12,boxscore,W,,5-4,@,Arizona Cardinals,27,10,20,434,308,126,,17,295,209,86,3,12.98,6.02,-0.14
11,Sun,November 19,boxscore,W,,6-4,,Indianapolis Colts,21,14,24,342,225,117,2,22,335,247,88,4,7.75,5.95,-6.47
12,Thu,November 23,boxscore,W,,7-4,,Tampa Bay Buccaneers,38,10,27,435,298,137,,10,211,110,101,2,24.69,6.68,-4.65
13,Sun,December 3,boxscore,W,,8-4,@,New York Giants,23,20,21,365,255,110,2,22,396,270,126,1,11.65,-9.96,-1.62
14,Sun,December 10,boxscore,L,,8-5,,New Orleans Saints,17,42,16,347,231,116,2,28,536,377,159,,4.95,-30.04,-2.02
15,Sat,December 16,boxscore,W,,9-5,@,Atlanta Falcons,38,28,21,352,258,94,2,19,376,249,127,3,10.16,-3.06,0.78
16,Mon,December 25,boxscore,L,,9-6,,Philadelphia Eagles,7,23,16,201,118,83,3,20,426,222,204,1,-6.55,-10.91,-1.77
17,Sun,December 31,boxscore,L,,9-7,,Detroit Lions,31,39,19,365,307,58,4,22,362,277,85,1,2.43,-9.62,2.30
,,Playoffs,,,,,,,,,,,,,,,,,,,,,
WildCard,Sat,January 6,boxscore,L,,9-8,@,Seattle Seahawks,20,21,14,284,168,116,1,19,332,240,92,2,-8.69,1.81,7.20
