
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,boxscore,L,,0-1,,Tampa Bay Buccaneers,6,10,8,127,28,99,3,19,263,192,71,2,-18.31,2.79,12.61
2,Sun,September 23,boxscore,L,,0-2,,San Diego Chargers,21,32,14,289,188,101,5,26,475,345,130,1,-7.08,-13.10,5.02
3,Sun,September 30,boxscore,L,,0-3,@,Philadelphia Eagles,18,40,11,242,61,181,5,14,276,145,131,3,-22.49,2.71,-3.79
4,Sun,October 7,boxscore,L,,0-4,@,Oakland Raiders,21,28,17,231,123,108,,23,308,207,101,2,1.80,-11.38,1.80
5,Mon,October 15,boxscore,W,,1-4,,Washington Redskins,9,7,23,386,175,211,1,10,226,123,103,1,3.79,4.98,-5.63
6,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 28,boxscore,W,,2-4,,Arizona Cardinals,17,3,15,225,80,145,2,17,292,217,75,4,-5.98,21.33,0.27
8,Sun,November 4,boxscore,L,OT,2-5,@,New York Giants,24,27,17,324,238,86,4,19,358,265,93,5,-15.53,15.86,-1.62
9,Sun,November 11,boxscore,L,,2-6,@,Atlanta Falcons,13,20,15,303,96,207,2,12,201,46,155,1,-2.80,4.80,-8.83
10,Sun,November 18,boxscore,L,,2-7,,Philadelphia Eagles,3,36,11,213,81,132,4,17,227,129,98,1,-29.81,4.82,-14.44
11,Thu,November 22,boxscore,L,,2-8,,Denver Broncos,24,26,16,191,164,27,2,19,279,160,119,1,-9.78,10.23,-2.87
12,Sun,December 2,boxscore,W,,3-8,@,Washington Redskins,20,14,19,337,122,215,1,15,277,196,81,1,7.32,0.32,-0.85
13,Sun,December 9,boxscore,W,,4-8,,New York Giants,20,13,14,289,185,104,,12,245,120,125,2,-6.53,11.60,4.95
14,Sun,December 16,boxscore,L,,4-9,@,Seattle Seahawks,3,29,10,218,116,102,1,22,312,139,173,,-22.91,-3.10,-3.85
15,Sun,December 23,boxscore,L,,4-10,@,Arizona Cardinals,10,17,21,343,169,174,3,11,209,134,75,,-17.13,7.34,4.27
16,Sun,December 30,boxscore,W,,5-10,,San Francisco 49ers,27,21,24,420,234,186,,16,285,229,56,1,16.21,-2.06,-5.85
17,Sun,January 6,boxscore,L,,5-11,@,Detroit Lions,10,15,12,264,158,106,1,20,366,242,124,,-6.68,-9.65,6.91
