
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 15,boxscore,W,,1-0,,Detroit Lions,59,13,29,542,381,161,,15,257,189,68,4
2,Sun,September 22,boxscore,W,,2-0,,Cleveland Browns,28,7,24,346,143,203,1,12,250,163,87,2
3,Sun,September 29,boxscore,W,,3-0,@,Philadelphia Eagles,45,13,21,418,281,137,2,14,263,223,40,7
4,Sun,October 6,boxscore,W,,4-0,@,St. Louis Cardinals,27,10,22,297,103,194,1,14,251,173,78,2
5,Sun,October 13,boxscore,W,,5-0,,Philadelphia Eagles,34,14,27,414,263,151,1,11,164,72,92,5
6,Sun,October 20,boxscore,W,,6-0,@,Minnesota Vikings,20,7,9,177,93,84,2,16,274,144,130,3
7,Mon,October 28,boxscore,L,,6-1,,Green Bay Packers,17,28,20,365,206,159,4,20,322,217,105,1
8,Sun,November 3,boxscore,W,,7-1,@,New Orleans Saints,17,3,22,405,220,185,7,13,243,184,59,4
9,Sun,November 10,boxscore,L,,7-2,,New York Giants,21,27,24,349,250,99,5,13,293,181,112,1
10,Sun,November 17,boxscore,W,,8-2,@,Washington Redskins,44,24,24,515,295,220,2,13,289,207,82,2
11,Sun,November 24,boxscore,W,,9-2,@,Chicago Bears,34,3,26,343,230,113,2,9,147,80,67,3
12,Thu,November 28,boxscore,W,,10-2,,Washington Redskins,29,20,17,285,138,147,1,18,248,220,28,5
13,Sun,December 8,boxscore,W,,11-2,,Pittsburgh Steelers,28,7,11,341,232,109,2,19,313,120,193,1
14,Sun,December 15,boxscore,W,,12-2,@,New York Giants,28,10,21,320,191,129,3,15,319,265,54,1
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sat,December 21,boxscore,L,,12-3,@,Cleveland Browns,20,31,13,286,200,86,4,12,280,178,102,2
