
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 15,boxscore,W,,1-0,@,Atlanta Falcons,24,0,21,411,206,205,2,7,108,44,64,5
2,Mon,September 23,boxscore,L,,1-1,@,Philadelphia Eagles,10,13,20,385,217,168,3,5,165,67,98,3
3,Sun,September 29,boxscore,L,,1-2,,New York Giants,6,14,18,333,221,112,5,16,307,128,179,1
4,Sun,October 6,boxscore,L,,1-3,,Minnesota Vikings,21,23,16,273,129,144,4,18,376,265,111,
5,Sun,October 13,boxscore,L,,1-4,@,St. Louis Cardinals,28,31,24,370,224,146,1,17,374,236,138,
6,Sun,October 20,boxscore,W,,2-4,,Philadelphia Eagles,31,24,29,420,174,246,,20,300,250,50,3
7,Sun,October 27,boxscore,W,,3-4,@,New York Giants,21,7,22,344,160,184,3,13,227,165,62,4
8,Sun,November 3,boxscore,W,,4-4,,St. Louis Cardinals,17,14,22,278,146,132,,19,216,82,134,
9,Sun,November 10,boxscore,W,,5-4,,San Francisco 49ers,20,14,21,379,158,221,3,20,326,262,64,1
10,Sun,November 17,boxscore,L,,5-5,@,Washington Redskins,21,28,18,296,144,152,1,13,252,152,100,1
11,Sun,November 24,boxscore,W,,6-5,@,Houston Oilers,10,0,15,252,38,214,1,6,81,55,26,1
12,Thu,November 28,boxscore,W,,7-5,,Washington Redskins,24,23,23,373,239,134,5,11,207,102,105,1
13,Sat,December 7,boxscore,W,,8-5,,Cleveland Browns,41,17,25,469,217,252,1,19,257,170,87,5
14,Sat,December 14,boxscore,L,,8-6,@,Oakland Raiders,23,27,21,400,256,144,2,15,267,141,126,1
