
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 13,boxscore,W,,1-0,@,Tampa Bay Buccaneers,34,21,18,462,344,118,,26,450,276,174,,19.25,-16.05,14.47
2,Sun,September 20,boxscore,L,,1-1,,New York Giants,31,33,23,378,127,251,4,19,427,330,97,,7.17,-12.50,1.07
3,Mon,September 28,boxscore,W,,2-1,,Carolina Panthers,21,7,24,449,237,212,,15,271,198,73,3,10.90,10.06,-5.68
4,Sun,October 4,boxscore,L,,2-2,@,Denver Broncos,10,17,20,315,241,74,2,18,337,221,116,1,-10.43,0.81,3.51
5,Sun,October 11,boxscore,W,OT,3-2,@,Kansas City Chiefs,26,20,20,498,348,150,2,20,304,232,72,,11.74,1.90,-6.07
6,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 25,boxscore,W,,4-2,,Atlanta Falcons,37,21,18,414,299,115,1,21,298,174,124,3,9.44,-0.19,5.73
8,Sun,November 1,boxscore,W,,5-2,,Seattle Seahawks,38,17,26,362,249,113,1,18,308,229,79,2,13.95,1.99,4.66
9,Sun,November 8,boxscore,W,,6-2,@,Philadelphia Eagles,20,16,18,358,282,76,1,17,297,208,89,2,3.88,2.58,-4.91
10,Sun,November 15,boxscore,L,,6-3,@,Green Bay Packers,7,17,17,278,217,61,3,20,283,178,105,,-13.36,3.41,-2.49
11,Sun,November 22,boxscore,W,,7-3,,Washington Redskins,7,6,17,305,152,153,2,14,324,246,78,1,-6.34,2.37,5.91
12,Thu,November 26,boxscore,W,,8-3,,Oakland Raiders,24,7,18,494,299,195,,14,305,181,124,1,17.06,9.57,-7.18
13,Sun,December 6,boxscore,L,,8-4,@,New York Giants,24,31,27,424,379,45,1,15,337,237,100,2,5.27,-3.08,-13.06
14,Sun,December 13,boxscore,L,,8-5,,San Diego Chargers,17,20,22,347,239,108,,21,341,268,73,1,7.45,-12.26,-0.89
15,Sat,December 19,boxscore,W,,9-5,@,New Orleans Saints,24,17,24,439,294,145,,23,336,271,65,3,14.21,-1.16,-5.26
16,Sun,December 27,boxscore,W,,10-5,@,Washington Redskins,17,0,22,393,285,108,1,15,208,165,43,1,4.57,14.55,0.59
17,Sun,January 3,boxscore,W,,11-5,,Philadelphia Eagles,24,0,21,474,295,179,1,10,228,191,37,1,11.35,15.78,-5.14
,,Playoffs,,,,,,,,,,,,,,,,,,,,,
WildCard,Sat,January 9,boxscore,W,,12-5,,Philadelphia Eagles,34,14,27,426,228,198,1,17,340,284,56,4,19.19,5.88,-7.07
Division,Sun,January 17,boxscore,L,,12-6,@,Minnesota Vikings,3,34,16,248,156,92,3,16,323,214,109,,-21.34,-5.71,-2.73
