
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 21,boxscore,W,,1-0,,St. Louis Cardinals,24,3,14,362,210,152,2,10,257,199,58,3
2,Sun,September 28,boxscore,W,,2-0,@,New Orleans Saints,21,17,17,294,81,213,1,17,310,269,41,4
3,Sun,October 5,boxscore,W,,3-0,@,Philadelphia Eagles,38,7,27,526,344,182,1,15,252,198,54,2
4,Sun,October 12,boxscore,W,,4-0,@,Atlanta Falcons,24,17,19,397,232,165,1,14,213,125,88,2
5,Sun,October 19,boxscore,W,,5-0,,Philadelphia Eagles,49,14,24,447,276,171,1,8,180,122,58,3
6,Mon,October 27,boxscore,W,,6-0,,New York Giants,25,3,21,370,153,217,3,8,166,126,40,2
7,Sun,November 2,boxscore,L,,6-1,@,Cleveland Browns,10,42,20,323,183,140,6,20,325,230,95,3
8,Sun,November 9,boxscore,W,,7-1,,New Orleans Saints,33,17,18,438,251,187,2,20,303,162,141,3
9,Sun,November 16,boxscore,W,,8-1,@,Washington Redskins,41,28,23,365,147,218,1,19,377,320,57,4
10,Sun,November 23,boxscore,L,,8-2,@,Los Angeles Rams,23,24,20,352,222,130,4,16,290,202,88,2
11,Thu,November 27,boxscore,T,,8-2-1,,San Francisco 49ers,24,24,21,305,168,137,3,15,319,227,92,1
12,Sun,December 7,boxscore,W,,9-2-1,@,Pittsburgh Steelers,10,7,13,202,109,93,3,14,217,140,77,1
13,Sat,December 13,boxscore,W,,10-2-1,,Baltimore Colts,27,10,18,408,275,133,1,8,224,164,60,4
14,Sun,December 21,boxscore,W,,11-2-1,,Washington Redskins,20,10,20,333,195,138,1,19,274,173,101,1
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sun,December 28,boxscore,L,,11-3-1,,Cleveland Browns,14,38,17,217,117,100,3,22,344,247,97,
