
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Mon,September 3,boxscore,W,,1-0,@,Los Angeles Rams,20,13,26,436,321,115,5,11,204,67,137,5
2,Sun,September 9,boxscore,L,,1-1,@,New York Giants,7,28,23,344,206,138,4,15,284,164,120,1
3,Sun,September 16,boxscore,W,,2-1,,Philadelphia Eagles,23,17,21,447,352,95,,20,299,243,56,3
4,Sun,September 23,boxscore,W,,3-1,,Green Bay Packers,20,6,19,300,200,100,1,15,204,77,127,4
5,Sun,September 30,boxscore,W,,4-1,@,Chicago Bears,23,14,17,313,254,59,,26,400,117,283,2
6,Sun,October 7,boxscore,L,,4-2,,St. Louis Cardinals,20,31,19,298,177,121,3,23,477,325,152,
7,Sun,October 14,boxscore,L,,4-3,@,Washington Redskins,14,34,21,359,269,90,4,19,423,182,241,2
8,Sun,October 21,boxscore,W,OT,5-3,,New Orleans Saints,30,27,22,292,194,98,2,17,342,107,235,5
9,Sun,October 28,boxscore,W,,6-3,,Indianapolis Colts,22,3,27,397,262,135,2,9,155,82,73,4
10,Sun,November 4,boxscore,L,,6-4,,New York Giants,7,19,13,256,140,116,3,18,348,227,121,2
11,Sun,November 11,boxscore,W,,7-4,@,St. Louis Cardinals,24,17,16,250,134,116,2,25,435,357,78,6
12,Sun,November 18,boxscore,L,,7-5,@,Buffalo Bills,3,14,19,297,219,78,3,14,307,104,203,2
13,Thu,November 22,boxscore,W,,8-5,,New England Patriots,20,17,18,342,275,67,2,19,297,147,150,1
14,Sun,December 2,boxscore,W,,9-5,@,Philadelphia Eagles,26,10,16,286,96,190,6,13,173,135,38,4
15,Sun,December 9,boxscore,L,,9-6,,Washington Redskins,28,30,25,387,281,106,4,22,299,148,151,
16,Mon,December 17,boxscore,L,,9-7,@,Miami Dolphins,21,28,21,316,226,90,2,17,389,328,61,3
