
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 21,boxscore,W,,1-0,,Los Angeles Rams,18,7,18,277,80,197,1,11,148,20,128,4
2,Sun,September 28,boxscore,W,OT,2-0,,St. Louis Cardinals,37,31,28,448,288,160,2,19,432,314,118,3
3,Mon,October 6,boxscore,W,,3-0,@,Detroit Lions,36,10,14,344,250,94,2,16,210,27,183,3
4,Sun,October 12,boxscore,W,,4-0,@,New York Giants,13,7,14,262,66,196,1,10,173,77,96,5
5,Sun,October 19,boxscore,L,,4-1,,Green Bay Packers,17,19,20,374,168,206,5,14,291,149,142,3
6,Sun,October 26,boxscore,W,,5-1,@,Philadelphia Eagles,20,17,21,378,300,78,1,13,267,156,111,1
7,Sun,November 2,boxscore,L,OT,5-2,@,Washington Redskins,24,30,22,385,213,172,3,29,403,301,102,6
8,Mon,November 10,boxscore,L,,5-3,,Kansas City Chiefs,31,34,26,436,232,204,7,21,296,132,164,3
9,Sun,November 16,boxscore,W,,6-3,@,New England Patriots,34,31,16,336,165,171,2,20,324,225,99,4
10,Sun,November 23,boxscore,W,,7-3,,Philadelphia Eagles,27,17,22,351,146,205,2,23,327,216,111,2
11,Sun,November 30,boxscore,W,,8-3,,New York Giants,14,3,19,389,208,181,2,11,158,84,74,3
12,Sun,December 7,boxscore,L,,8-4,@,St. Louis Cardinals,17,31,28,373,255,118,3,22,368,199,169,1
13,Sat,December 13,boxscore,W,,9-4,,Washington Redskins,31,10,19,343,136,207,2,12,222,141,81,4
14,Sun,December 21,boxscore,W,,10-4,@,New York Jets,31,21,21,329,86,243,2,13,120,-1,121,2
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sun,December 28,boxscore,W,,11-4,@,Minnesota Vikings,17,14,19,356,225,131,1,12,215,100,115,1
ConfChamp,Sun,January 4,boxscore,W,,12-4,@,Los Angeles Rams,37,7,24,441,246,195,1,9,118,96,22,3
SuperBowl,Sun,January 18,boxscore,L,,12-5,N,Pittsburgh Steelers,17,21,14,270,162,108,3,13,339,190,149,
