
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 19,boxscore,W,,1-0,,New York Giants,31,2,19,270,128,142,1,8,139,40,99,4
2,Sun,September 26,boxscore,W,,2-0,,Washington Redskins,27,7,16,297,137,160,1,13,274,185,89,5
3,Mon,October 4,boxscore,L,,2-1,@,St. Louis Cardinals,13,20,9,181,96,85,3,20,353,156,197,3
4,Sun,October 10,boxscore,L,,2-2,,Philadelphia Eagles,24,35,14,298,234,64,3,22,396,254,142,
5,Sun,October 17,boxscore,L,,2-3,@,Cleveland Browns,17,23,15,264,185,79,1,16,335,230,105,1
6,Sun,October 24,boxscore,L,,2-4,@,Green Bay Packers,3,13,13,192,-1,193,5,7,63,-10,73,
7,Sun,October 31,boxscore,L,,2-5,@,Pittsburgh Steelers,13,22,14,255,165,90,3,16,314,245,69,2
8,Sun,November 7,boxscore,W,,3-5,,San Francisco 49ers,39,31,9,242,201,41,3,26,411,238,173,5
9,Sun,November 14,boxscore,W,,4-5,,Pittsburgh Steelers,24,17,15,341,218,123,5,12,197,147,50,6
10,Sun,November 21,boxscore,L,,4-6,,Cleveland Browns,17,24,18,293,169,124,3,15,200,65,135,1
11,Sun,November 28,boxscore,L,,4-7,@,Washington Redskins,31,34,17,284,202,82,2,28,415,364,51,6
12,Sun,December 5,boxscore,W,,5-7,@,Philadelphia Eagles,21,19,18,341,156,185,2,22,434,370,64,2
13,Sat,December 11,boxscore,W,,6-7,,St. Louis Cardinals,27,13,18,403,324,79,1,17,339,251,88,
14,Sun,December 19,boxscore,W,,7-7,@,New York Giants,38,20,16,334,173,161,2,18,322,213,109,3
