
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sat,September 24,boxscore,L,,0-1,,Pittsburgh Steelers,28,35,17,395,323,72,4,20,475,353,122,1
2,Fri,September 30,boxscore,L,,0-2,,Philadelphia Eagles,25,27,18,339,185,154,5,16,301,139,162,5
3,Sun,October 9,boxscore,L,,0-3,@,Washington Redskins,14,26,22,331,275,56,4,13,362,213,149,1
4,Sun,October 16,boxscore,L,,0-4,,Cleveland Browns,7,48,8,167,79,88,6,18,282,82,200,1
5,Sun,October 23,boxscore,L,,0-5,@,St. Louis Cardinals,10,12,9,175,124,51,2,17,306,80,226,3
6,Sun,October 30,boxscore,L,,0-6,,Baltimore Colts,7,45,9,147,64,83,6,23,493,276,217,1
7,Sun,November 6,boxscore,L,,0-7,,Los Angeles Rams,13,38,15,225,61,164,4,20,500,219,281,1
8,Sun,November 13,boxscore,L,,0-8,@,Green Bay Packers,7,41,14,260,161,99,5,20,391,226,165,2
9,Sun,November 20,boxscore,L,,0-9,,San Francisco 49ers,14,26,13,282,228,54,7,17,313,141,172,2
10,Sun,November 27,boxscore,L,,0-10,@,Chicago Bears,7,17,12,218,174,44,2,16,279,58,221,3
11,Sun,December 4,boxscore,T,,0-10-1,@,New York Giants,31,31,19,328,258,70,2,19,327,213,114,3
12,Sun,December 11,boxscore,L,,0-11-1,@,Detroit Lions,14,23,24,286,172,114,3,17,343,130,213,3
