
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 1,boxscore,W,,1-0,@,Cleveland Browns,26,14,25,395,265,130,,15,275,243,32,
2,Mon,September 9,boxscore,L,,1-1,,Washington Redskins,31,33,19,349,224,125,2,20,332,192,140,1
3,Sun,September 15,boxscore,L,,1-2,,Philadelphia Eagles,0,24,8,90,45,45,4,16,262,207,55,1
4,Sun,September 22,boxscore,W,,2-2,@,Phoenix Cardinals,17,9,11,320,139,181,1,20,322,220,102,1
5,Sun,September 29,boxscore,W,,3-2,,New York Giants,21,16,20,327,269,58,1,26,487,368,119,3
6,Sun,October 6,boxscore,W,,4-2,@,Green Bay Packers,20,17,25,411,287,124,,15,259,199,60,3
7,Sun,October 13,boxscore,W,,5-2,,Cincinnati Bengals,35,23,19,376,264,112,2,17,352,178,174,3
8,,,,,,,,Bye Week,,,,,,,,,,,,
9,Sun,October 27,boxscore,L,,5-3,@,Detroit Lions,10,34,22,415,341,74,4,13,208,136,72,
10,Sun,November 3,boxscore,W,,6-3,,Phoenix Cardinals,27,7,22,286,165,121,2,16,239,130,109,3
11,Sun,November 10,boxscore,L,OT,6-4,@,Houston Oilers,23,26,21,291,241,50,1,33,583,425,158,1
12,Sun,November 17,boxscore,L,,6-5,@,New York Giants,9,22,14,243,142,101,2,21,315,177,138,1
13,Sun,November 24,boxscore,W,,7-5,@,Washington Redskins,24,21,23,399,277,122,1,15,262,212,50,1
14,Thu,November 28,boxscore,W,,8-5,,Pittsburgh Steelers,20,10,20,297,181,116,,17,199,134,65,1
15,Sun,December 8,boxscore,W,,9-5,,New Orleans Saints,23,14,20,301,184,117,,22,328,229,99,1
16,Sun,December 15,boxscore,W,,10-5,@,Philadelphia Eagles,25,13,11,210,138,72,,16,240,129,111,2
17,Sun,December 22,boxscore,W,,11-5,,Atlanta Falcons,31,27,24,391,228,163,4,17,403,316,87,1
,,Playoffs,,,,,,,,,,,,,,,,,,
WildCard,Sun,December 29,boxscore,W,,12-5,@,Chicago Bears,17,13,15,288,180,108,,26,372,222,150,3
Division,Sun,January 5,boxscore,L,,12-6,@,Detroit Lions,6,38,16,276,179,97,4,23,421,337,84,
