
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 2,boxscore,W,,1-0,@,St. Louis Cardinals,22,21,24,455,294,161,1,17,342,105,237,2
2,Sun,September 9,boxscore,W,,2-0,@,San Francisco 49ers,21,13,19,347,249,98,1,16,294,231,63,2
3,Sun,September 16,boxscore,W,,3-0,,Chicago Bears,24,20,26,420,206,214,3,14,318,118,200,2
4,Mon,September 24,boxscore,L,,3-1,@,Cleveland Browns,7,26,20,394,271,123,5,15,311,229,82,1
5,Sun,September 30,boxscore,W,,4-1,,Cincinnati Bengals,38,13,24,370,176,194,1,20,285,181,104,3
6,Sun,October 7,boxscore,W,,5-1,@,Minnesota Vikings,36,20,25,446,167,279,2,14,240,179,61,2
7,Sun,October 14,boxscore,W,,6-1,,Los Angeles Rams,30,6,23,403,202,201,1,11,158,99,59,3
8,Sun,October 21,boxscore,W,,7-1,,St. Louis Cardinals,22,13,12,319,164,155,3,18,235,98,137,2
9,Sun,October 28,boxscore,L,,7-2,@,Pittsburgh Steelers,3,14,16,278,199,79,1,16,288,115,173,
10,Sun,November 4,boxscore,W,,8-2,@,New York Giants,16,14,19,344,238,106,1,12,249,133,116,1
11,Mon,November 12,boxscore,L,,8-3,,Philadelphia Eagles,21,31,17,408,285,123,3,17,328,158,170,
12,Sun,November 18,boxscore,L,,8-4,@,Washington Redskins,20,34,27,384,299,85,5,19,306,202,104,
13,Thu,November 22,boxscore,L,,8-5,,Houston Oilers,24,30,20,371,279,92,3,17,378,154,224,
14,Sun,December 2,boxscore,W,,9-5,,New York Giants,28,7,21,316,150,166,,14,197,98,99,3
15,Sat,December 8,boxscore,W,,10-5,@,Philadelphia Eagles,24,17,19,279,94,185,1,18,284,204,80,1
16,Sun,December 16,boxscore,W,,11-5,,Washington Redskins,35,34,27,434,320,114,3,21,373,167,206,1
,,Playoffs,,,,,,,,,,,,,,,,,,
Division,Sun,December 30,boxscore,L,,11-6,,Los Angeles Rams,19,21,17,306,150,156,1,16,361,202,159,2
