
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 4,boxscore,L,,0-1,@,Pittsburgh Steelers,21,24,25,414,280,134,3,17,356,214,142,
2,Mon,September 12,boxscore,W,,1-1,@,Phoenix Cardinals,17,14,18,352,162,190,1,22,367,237,130,1
3,Sun,September 18,boxscore,L,,1-2,,New York Giants,10,12,22,366,275,91,2,21,278,150,128,2
4,Sun,September 25,boxscore,W,,2-2,,Atlanta Falcons,26,20,17,323,210,113,1,15,314,207,107,2
5,Mon,October 3,boxscore,L,,2-3,@,New Orleans Saints,17,20,28,457,271,186,3,17,333,268,65,1
6,Sun,October 9,boxscore,L,,2-4,,Washington Redskins,17,35,18,361,301,60,5,19,350,170,180,1
7,Sun,October 16,boxscore,L,,2-5,@,Chicago Bears,7,17,18,291,195,96,2,24,385,261,124,1
8,Sun,October 23,boxscore,L,,2-6,@,Philadelphia Eagles,23,24,25,437,332,105,1,23,339,274,65,2
9,Sun,October 30,boxscore,L,,2-7,,Phoenix Cardinals,10,16,11,228,103,125,2,15,295,135,160,
10,Sun,November 6,boxscore,L,,2-8,@,New York Giants,21,29,21,365,262,103,3,15,262,151,111,1
11,Sun,November 13,boxscore,L,,2-9,,Minnesota Vikings,3,43,12,159,49,110,7,18,325,222,103,1
12,Sun,November 20,boxscore,L,,2-10,,Cincinnati Bengals,24,38,23,355,176,179,2,23,410,196,214,1
13,Thu,November 24,boxscore,L,,2-11,,Houston Oilers,17,25,17,282,203,79,2,19,355,210,145,
14,Sun,December 4,boxscore,L,,2-12,@,Cleveland Browns,21,24,22,410,247,163,1,16,302,275,27,1
15,Sun,December 11,boxscore,W,,3-12,@,Washington Redskins,24,17,21,444,320,124,2,15,372,348,24,5
16,Sun,December 18,boxscore,L,,3-13,,Philadelphia Eagles,7,23,13,239,102,137,3,18,371,238,133,
