
,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense
Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO
1,Sun,September 9,boxscore,W,,1-0,,San Diego Chargers,17,14,14,249,161,88,1,12,212,127,85,2
2,Sun,September 16,boxscore,L,,1-1,,New York Giants,7,28,9,156,136,20,4,23,369,208,161,3
3,Sun,September 23,boxscore,L,,1-2,@,Washington Redskins,15,19,19,234,143,91,3,11,214,135,79,1
4,Sun,September 30,boxscore,L,,1-3,@,New York Giants,17,31,20,284,233,51,2,21,334,198,136,
5,Sun,October 7,boxscore,W,,2-3,,Tampa Bay Buccaneers,14,10,19,304,149,155,1,12,271,164,107,1
6,Sun,October 14,boxscore,L,,2-4,@,Phoenix Cardinals,3,20,9,100,34,66,3,23,414,191,223,2
7,Sun,October 21,boxscore,W,,3-4,@,Tampa Bay Buccaneers,17,13,14,223,145,78,1,22,331,241,90,5
8,Sun,October 28,boxscore,L,,3-5,,Philadelphia Eagles,20,21,23,345,215,130,1,23,304,160,144,1
9,Sun,November 4,boxscore,L,,3-6,@,New York Jets,9,24,18,321,226,95,2,15,187,71,116,
10,Sun,November 11,boxscore,L,,3-7,,San Francisco 49ers,6,24,9,158,80,78,2,25,388,281,107,2
11,Sun,November 18,boxscore,W,,4-7,@,Los Angeles Rams,24,21,17,359,295,64,1,18,292,124,168,1
12,Thu,November 22,boxscore,W,,5-7,,Washington Redskins,27,17,18,370,208,162,2,20,297,261,36,1
13,Sun,December 2,boxscore,W,,6-7,,New Orleans Saints,17,13,17,274,161,113,1,14,283,170,113,1
14,,,,,,,,Bye Week,,,,,,,,,,,,
15,Sun,December 16,boxscore,W,,7-7,,Phoenix Cardinals,41,10,25,354,166,188,3,9,200,151,49,4
16,Sun,December 23,boxscore,L,,7-8,@,Philadelphia Eagles,3,17,11,199,125,74,4,17,276,98,178,3
17,Sun,December 30,boxscore,L,,7-9,@,Atlanta Falcons,7,26,8,151,104,47,2,15,243,59,184,3
